&{4 0 0xc000004228} , 3 , 2 , illegal knight move
&{4 0 0xc000004228} , 3 , 3 , illegal knight move
&{4 0 0xc000004228} , 3 , 4 , test
&{4 0 0xc000004228} , 3 , 5 , illegal knight move
&{4 0 0xc000004228} , 3 , 6 , illegal knight move
&{4 0 0xc000004228} , 3 , 7 , illegal knight move
&{4 0 0xc000004228} , 4 , 0 , illegal knight move
&{4 0 0xc000004228} , 4 , 1 , test
&{4 0 0xc000004228} , 4 , 2 , illegal knight move
&{4 0 0xc000004228} , 4 , 3 , square occupied by an ally piece
&{4 0 0xc000004228} , 4 , 4 , illegal knight move
&{4 0 0xc000004228} , 4 , 5 , illegal knight move
&{4 0 0xc000004228} , 4 , 6 , illegal knight move
&{4 0 0xc000004228} , 4 , 7 , illegal knight move
&{4 0 0xc000004228} , 5 , 0 , illegal knight move
&{4 0 0xc000004228} , 5 , 1 , illegal knight move
&{4 0 0xc000004228} , 5 , 2 , illegal knight move
&{4 0 0xc000004228} , 5 , 3 , illegal knight move
&{4 0 0xc000004228} , 5 , 4 , illegal knight move
&{4 0 0xc000004228} , 5 , 5 , illegal knight move
&{4 0 0xc000004228} , 5 , 6 , illegal knight move
&{4 0 0xc000004228} , 5 , 7 , illegal knight move
&{4 0 0xc000004228} , 6 , 0 , illegal knight move
&{4 0 0xc000004228} , 6 , 1 , illegal knight move
&{4 0 0xc000004228} , 6 , 2 , illegal knight move
&{4 0 0xc000004228} , 6 , 3 , illegal knight move
&{4 0 0xc000004228} , 6 , 4 , illegal knight move
&{4 0 0xc000004228} , 6 , 5 , illegal knight move
&{4 0 0xc000004228} , 6 , 6 , illegal knight move
&{4 0 0xc000004228} , 6 , 7 , illegal knight move
&{4 0 0xc000004228} , 7 , 0 , illegal knight move
&{4 0 0xc000004228} , 7 , 1 , illegal knight move
&{4 0 0xc000004228} , 7 , 2 , illegal knight move
&{4 0 0xc000004228} , 7 , 3 , illegal knight move
&{4 0 0xc000004228} , 7 , 4 , illegal knight move
&{4 0 0xc000004228} , 7 , 5 , illegal knight move
&{4 0 0xc000004228} , 7 , 6 , illegal knight move
&{4 0 0xc000004228} , 7 , 7 , illegal knight move
&{4 0 0xc0000044f8} , 0 , 0 , illegal knight move
&{4 0 0xc0000044f8} , 0 , 1 , illegal knight move
&{4 0 0xc0000044f8} , 0 , 2 , illegal knight move
&{4 0 0xc0000044f8} , 0 , 3 , illegal knight move
&{4 0 0xc0000044f8} , 0 , 4 , illegal knight move
&{4 0 0xc0000044f8} , 0 , 5 , illegal knight move
&{4 0 0xc0000044f8} , 0 , 6 , illegal knight move
&{4 0 0xc0000044f8} , 0 , 7 , illegal knight move
&{4 0 0xc0000044f8} , 1 , 0 , illegal knight move
&{4 0 0xc0000044f8} , 1 , 1 , illegal knight move
&{4 0 0xc0000044f8} , 1 , 2 , illegal knight move
